"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"Logo_silk_OSHW_12x13mm";1;"LOGO";;;
2;"hole_2mm5,hole_2mm5,hole_2mm5";"hole_2mm5";3;"VAL**";;;
3;"SW1";"smd_push_ALPS";1;"ALPS_switch";;;
4;"U1";"TQFP-100";1;"ADAU1446";;;
5;"P1";"Socket_Strip_Straight_1x02_Pitch2.54mm";1;"CONN_01X02";;;
6;"U2";"so-8";1;"NB3L553";;;
7;"Q2";"sot23";1;"FMMT734";;;
8;"JP1";"pin_socket_2";1;"SELFBOOT";;;
9;"Q1";"crystal_epson";1;"12.288MHz";;;
10;"C32,C30,C29,C28,C27,C26,C22,C20,C17,C16,C15,C14,C13,C12,C11,C10,C8,C7,C6,C5,C4,C3,C2,C1";"c_0603";24;"0.1uF";;;
11;"C24";"c_0603";1;"1.8nF";;;
12;"C23";"c_0603";1;"33nF";;;
13;"U5,U4";"SOT-223-3Lead_TabPin2";2;"TLV1117LV33";;;
14;"U3";"sot143B";1;"ADM811RARTZ";;;
15;"P7,P6,P4,P3,P2";"pin_strip_2mm_5x2";5;"CONN_02x05";;;
16;"P5";"pin_strip_2mm_5x2";1;"CONN_02X05";;;
17;"L3,L2,L1";"inductor_smd_0603";3;"600R@100MHz";;;
18;"J1";"mkds_1,5-2";1;"POW_CONN";;;
19;"D1";"sod123";1;"MBR0530T1G";;;
20;"C34,C33";"c_0805";2;"1uF";;;
21;"C31,C25,C21,C19,C18,C9";"c_elec_4x5.3";6;"10uF";;;
22;"IC1";"so-8";1;"24AA256";;;
23;"R5,R16,R10,R6,R4";"r_0603";5;"10K";;;
24;"R27";"r_0603";1;"100K";;;
25;"R26,R25,R24,R23,R22,R21,R20,R19,R18,R17,R11,R9";"r_0603";12;"75R";;;
26;"R15,R14,R13,R12";"r_0603";4;"4K7";;;
27;"R8";"r_0603";1;"1K5";;;
28;"R7";"r_0603";1;"1K";;;
29;"R3,R2";"r_0603";2;"2K2";;;
30;"R1";"r_0603";1;"39R";;;
